name
Banjarsari
Banjaranyar
Baregbeg
Ciamis
Cidolog
Cihaurbeuti
Cijeungjing
Cikoneng
Cimaragas
Cipaku
Cisaga
Jatinagara
Kawali
Lakbok
Lumbung
Pamarican
Panawangan
Panjalu
Panumbangan
Purwadadi
Rajadesa
Rancah
Sadananya
Sindangkasih
Sukadana
Sukamantri
Tambaksari
